lokacija2;kvadratura;sprat;broj_soba;parking;lift;terasa;cena
0.70141;30;10;1;0;1;0;105000
0.70141;30;10;1;0;1;0;105000
6.89724;32;4;1;0;1;0;74000
6.89724;40;1;1;1;0;1;65000
6.89724;50;1;1;0;1;1;94000
0.70141;42;3;1;0;0;0;90900
0.70141;27;3;1;0;1;0;97000
6.89724;26;0;1;0;0;0;56000
5.23331;55;1;1;0;0;1;82500
7.27996;95;1;1;1;0;1;100000
3.26163;38;0;1;0;0;0;84000
1.9525;39;2;1;1;1;1;101140
7.3162;41;2;1;1;1;1;73000
5.23331;51;-1;1;0;0;1;72000
1.9525;39;1;1;1;1;1;95500
2.70379;38;4;1;1;1;1;87400
0.70141;28;3;1;1;1;0;81000
0.70141;27;4;1;0;0;1;89000
6.89724;26;3;1;1;0;1;48011
6.89724;30;1;1;0;0;1;51000
0.70141;35;4;1;0;0;0;88000
0.70141;27;2;1;0;1;1;87000
5.14346;191;0;5;0;0;1;180000
5.63327;74;0;3;1;0;1;130000
6.4635;220;6;5;1;1;1;195000
3.22382;68;8;4;0;0;0;115000
2.55305;80;4;4;0;0;1;98000
6.89724;72;4;4;0;0;1;96873
0.70141;40;2;1;0;0;0;117000
3.40639;80;2;4;0;0;1;125000
5.37218;75;0;4;0;0;0;230000
0.70141;44;3;1;0;1;1;134900
5.37218;102;2;4;1;1;1;235000
5.07601;70;1;4;1;0;1;110000
6.89724;80;2;4;0;0;1;125000
6.89724;87;3;4;0;0;1;99000
0.70141;37;0;1;0;1;0;102000
6.89724;80;4;4;1;0;1;98000
5.07601;120;2;4;0;0;1;135000
2.06858;54;0;1;0;0;0;125000
4.99928;46;3;1;0;1;1;149785
6.89724;102;2;4;0;0;1;135000
6.89724;84;1;4;1;0;1;140000
6.89724;90;1;4;1;0;1;125000
4.23096;54;3;1;1;0;1;124000
3.26163;75;2;4;0;1;1;149200
4.00942;88;3;4;0;0;1;136400
4.34235;67;0;4;1;0;1;135000
4.3084;47;13;2;0;0;0;108900
4.77334;32;1;1;0;1;1;97900
2.15374;69;5;1;0;0;1;69900
6.89724;90;5;4;0;1;0;149000
3.26163;75;2;4;0;1;1;140000
3.1644;54;7;1;0;1;1;105000
5.63327;35;0;1;1;0;0;90000
3.26163;78;1;4;1;0;1;140000
3.26163;72;2;4;0;1;1;145000
4.23096;23;2;1;0;0;1;42000
3.72306;26;-1;1;0;0;0;60000
3.26163;81;3;4;0;1;1;157000
5.91441;45;6;1;0;0;1;102363
5.35053;42;1;1;1;1;1;65000
3.75851;33;9;1;0;1;1;62000
3.26163;72;2;4;0;1;0;143000
4.20186;30;2;1;1;0;0;64000
2.3555;36;5;1;0;1;1;79500
3.1644;45;2;1;1;1;1;109000
4.23096;30;0;1;0;1;1;77000
3.72306;43;0;1;0;0;0;65000
3.72306;33;0;1;0;0;1;65000
4.53577;26;7;1;0;1;0;52000
6.76837;32;1;2;0;0;0;63000
5.35053;41;3;1;1;0;1;70000
5.35053;41;3;1;0;1;1;70000
7.05916;48;2;1;0;0;1;88900
4.21879;37;2;1;0;1;1;93000
4.23096;41;1;1;1;0;1;61800
4.23096;30;4;1;1;1;0;68200
4.23096;30;1;1;1;1;0;68200
5.35053;41;1;1;0;0;1;63000
5.35053;39;4;1;0;1;0;67900
6.28083;33;-1;1;0;1;0;39000
7.05916;46;0;1;0;1;0;98000
7.05916;46;2;1;1;0;1;89000
7.05916;48;2;1;0;0;1;89000
7.05916;41;2;1;0;0;1;89000
3.72306;31;0;1;0;0;0;50000
5.50949;33;-1;1;0;1;0;39000
6.28083;29;0;1;0;0;0;39000
7.29636;33;-1;1;0;1;0;39000
6.76837;33;-1;1;0;1;0;39000
4.23096;20;0;1;0;0;0;45000
4.23096;31;0;1;0;0;0;42600
4.23096;43;0;1;0;1;0;99500
3.72306;30;0;1;0;1;1;77000
3.1644;45;2;1;1;1;0;109000
3.1644;44;2;1;0;0;0;95000
5.9834;34;0;1;0;0;0;75990
4.77334;33;1;1;1;1;0;106000
4.77334;33;1;1;0;0;0;106000
4.77334;33;1;1;0;1;0;106000
3.72306;39;0;1;0;0;1;85000
3.72306;36;1;1;1;1;0;85000
3.72306;39;0;1;0;1;1;85000
4.23096;50;0;1;1;1;1;100000
1.79241;48;4;1;0;0;0;130000
1.79241;40;1;1;0;1;1;117000
0.83622;54;4;1;0;0;0;114000
6.89724;76;3;4;0;0;1;85000
3.72306;42;0;1;0;0;1;90500
2.55305;80;4;4;0;0;1;98000
2.55305;113;3;4;0;0;1;90000
2.55305;79;4;4;0;0;1;98000
5.37218;102;2;4;1;1;1;235000
5.37218;102;2;4;0;1;1;235000
1.1971;38;0;1;0;1;0;124000
1.72232;42;0;1;1;1;1;132000
5.48968;72;5;4;0;1;1;140000
1.72232;42;0;1;0;1;1;128000
5.14346;111;3;5;0;0;1;138000
5.14346;87;2;4;0;0;1;99000
5.14346;71;4;4;0;1;1;84636
5.14346;140;0;5;1;0;0;88000
1.79241;102;2;4;1;0;1;350000
2.06858;33;2;1;0;0;1;95000
2.06858;33;2;1;0;0;1;96000
2.06858;38;1;1;0;0;1;98000
5.35053;144;0;5;1;0;0;325000
2.55305;75;4;5;0;0;1;140000
2.6219;85;1;4;0;0;1;170000
5.14346;126;3;5;0;0;1;138000
5.14346;86;3;4;1;0;0;99000
5.14346;72;0;4;0;0;1;89000
5.14346;87;3;4;1;0;1;99000
2.06858;66;-1;1;0;0;0;85800
2.06858;42;7;1;1;1;1;83580
1.79241;115;1;4;1;0;1;320000
2.06858;30;2;1;0;0;0;90000
2.6219;102;2;4;1;1;1;179000
2.6219;128;3;4;0;0;0;185000
2.6219;87;7;4;0;0;0;174000
6.89724;88;3;5;0;0;1;136400
2.6219;103;1;4;1;0;1;155000
6.89724;203;3;6;1;0;1;125000
4.16136;88;3;5;0;0;1;136400
2.55305;130;0;5;0;0;1;145000
1.79241;87;0;4;0;1;1;290000
2.6219;93;7;4;0;0;0;186000
2.6219;104;4;4;0;1;1;197600
4.55358;88;3;5;0;0;1;136000
2.06858;26;1;1;0;1;0;73000
1.9525;80;3;5;1;0;0;160000
2.6219;84;1;4;0;1;1;194040
2.6219;87;5;4;1;1;1;201300
1.79241;111;1;4;0;0;1;298500
1.9525;110;3;5;1;0;0;160000
1.9525;80;3;5;0;0;0;160000
1.9525;120;3;5;1;0;0;155000
1.9525;116;3;5;1;0;0;160000
1.79241;125;1;4;0;1;1;288000
1.79241;102;2;4;0;0;1;350000
1.79241;122;3;4;0;1;1;290000
2.6219;95;4;4;0;0;0;224500
1.79241;115;1;4;0;0;1;320000
1.79241;107;2;4;0;0;1;350000
1.9525;105;2;5;1;0;0;165000
5.14346;114;3;5;0;0;0;138000
5.14346;126;3;5;0;1;1;138000
2.6219;96;0;4;0;1;0;221760
2.6219;102;3;4;0;1;1;224400
2.6219;95;5;4;0;0;0;228500
5.14346;146;2;6;1;0;1;125000
2.93805;273;1;4;0;1;1;1418400
2.48347;289;2;5;0;0;0;1500000
3.92202;288;1;5;1;0;1;1500000
4.69823;288;0;4;1;1;1;1500000
5.14346;125;0;5;0;0;1;119000
2.6219;190;9;4;1;1;1;1500000
2.93805;290;2;4;0;1;1;1510280
9.75102;2400;0;9;0;0;0;1500000
6.4252;97;13;4;0;1;1;250000
3.92202;288;2;5;1;0;1;1500000
2.6219;190;9;4;1;1;1;1650000
1.79241;115;1;4;0;0;1;320000
1.72232;405;4;4;1;1;1;1699000
2.93805;351;0;4;0;1;1;1824260
2.93805;489;3;4;1;0;1;1750000
3.92202;260;0;4;1;1;1;850000
5.14346;134;4;5;0;1;1;105000
6.1069;155;3;5;0;0;1;133000
1.1971;174;5;4;1;1;1;305000
6.28083;114;3;4;0;0;0;225125
0.83622;120;1;4;0;1;1;327000
6.28083;114;4;4;0;0;0;226235
3.1644;93;3;4;1;1;1;224900
1.79241;115;5;3;0;1;1;333500
6.28083;113;2;4;0;0;0;225126
4.69823;135;2;4;1;1;1;350000
4.69823;131;2;4;1;1;1;341000
4.69823;160;2;4;0;0;1;357000
3.92202;219;1;4;1;1;1;854000
3.92202;219;4;4;1;1;1;854000
4.69823;132;2;4;0;1;1;318980
3.92202;219;4;4;1;1;1;854100
3.92202;167;1;4;0;1;1;851000
3.1644;86;1;4;1;1;1;215000
3.1644;88;11;4;0;1;1;220000
3.1644;86;1;4;0;0;1;215000
3.1644;88;11;4;0;1;1;220000
2.06858;114;1;4;0;0;1;298500
4.69823;149;2;4;1;1;1;345000
4.69823;117;2;4;0;0;1;295000
2.06858;115;1;4;0;1;1;320000
6.28083;99;1;4;1;1;1;207501
6.28083;97;1;4;1;1;1;203868
2.06858;109;2;4;1;1;1;282450
2.06858;109;3;4;0;1;1;330000
2.06858;130;4;4;1;1;1;329900
2.06858;111;1;4;0;0;1;298500
1.1971;97;5;4;1;1;1;291000
4.69823;126;0;4;1;1;1;277244
4.69823;108;2;4;1;1;1;280000
1.1971;128;3;4;1;0;0;333000
2.06858;120;3;4;0;1;1;290000
2.06858;86;2;4;0;0;1;280000
2.06858;128;0;4;1;1;1;320000
2.06858;121;2;4;1;1;1;303000
2.06858;121;3;4;1;1;1;303000
2.06858;98;6;4;1;1;1;294800
2.06858;129;4;4;1;1;1;324000
2.06858;169;4;4;0;0;1;340000
2.06858;210;4;4;0;0;1;338900
4.69823;103;0;4;1;1;1;277000
4.69823;98;0;4;0;0;1;249000
2.06858;104;4;4;1;1;1;275000
1.1971;94;6;4;1;1;1;282000
1.1971;105;1;4;1;1;0;315000
4.69823;109;1;4;1;1;1;280000
2.06858;102;4;4;1;1;0;279373
1.1971;93;0;4;0;0;0;280000
1.1971;107;2;4;0;1;1;270000
1.1971;103;1;4;0;0;1;298500
4.69823;175;0;4;1;1;1;300000
3.92202;138;2;4;1;0;1;590000
1.1971;104;2;4;0;1;1;240000
4.69823;146;2;4;1;1;1;345000
4.69823;207;0;5;1;1;1;438000
4.69823;183;3;5;1;1;1;380000
4.69823;256;1;6;1;0;1;690000
1.1971;106;7;4;0;1;1;185000
1.1971;103;3;4;0;0;1;180000
1.1971;96;1;4;0;1;1;185000
4.69823;220;0;6;0;0;1;376000
4.69823;146;0;5;0;1;1;395000
1.1971;106;7;4;0;1;1;185000
1.1971;106;7;4;0;1;1;185000
4.69823;245;0;5;0;0;0;405000
1.1971;104;2;4;0;1;1;240000
1.1971;98;0;4;0;0;0;210000
1.72232;85;2;4;0;1;0;189000
9.83685;92;3;4;0;0;1;92000
5.35053;93;3;4;0;0;0;182000
0.75072;115;5;4;0;0;1;360000
5.07601;120;4;4;0;1;1;165000
11.56277;112;2;4;0;0;0;89000
5.14346;110;0;4;0;0;0;97000
6.76837;117;3;4;0;1;0;180000
1.72232;85;2;4;1;1;1;189000
3.8586;54;4;4;0;0;0;100000
1.72232;85;2;4;0;1;1;189000
1.72232;120;1;4;0;0;0;204000
1.72232;85;2;4;1;1;1;190000
9.83685;91;8;4;1;1;1;89000
9.83685;80;4;4;0;1;0;100500
0.75072;101;4;4;1;0;0;363000
6.76837;117;3;4;1;0;1;180000
0.75072;113;4;4;0;1;0;380000
6.76837;117;3;4;0;0;1;180000
6.76837;117;3;4;1;0;0;180000
5.90221;80;1;4;0;1;1;110000
5.90221;84;4;4;0;0;1;101800
7.0763;84;4;4;0;0;1;101800
5.90221;74;2;4;0;0;1;115000
9.83685;105;2;4;0;0;1;115000
0.75072;105;5;4;0;1;1;360000
5.90221;104;4;4;0;0;1;120000
0.75072;125;4;4;0;1;0;399000
5.90221;80;3;4;0;1;1;100000
