Rang;Cena
1469;58600
1470;58600
1471;58500
1472;58500
1473;58450
1474;58100
1475;58100
1476;58000
1477;58000
1478;58000
1479;57920
1480;57900
1481;57900
1482;57800
1483;57600
1484;57500
1485;57500
1486;57200
1487;57110
1488;57110
1489;57100
1490;57100
1491;57100
1492;57100
1493;57050
1494;57000
1495;57000
1496;57000
1497;56900
1498;56800
1499;56650
1500;56600
1501;56600
1502;56600
1503;56000
1504;56000
1505;56000
1506;55900
1507;55850
1508;55850
1509;55850
1510;55744
1511;55600
1512;55520
1513;55420
1514;55400
1515;55400
1516;55400
1517;55400
1518;55300
1519;55200
1520;55100
1521;55100
1522;55055
1523;55055
1524;55000
1525;55000
1526;55000
1527;55000
1528;55000
1529;55000
1530;55000
1531;55000
1532;54720
1533;54600
1534;54600
1535;54500
1536;54100
1537;54000
1538;53990
1539;53800
1540;53750
1541;53560
1542;53440
1543;53400
1544;53280
1545;53280
1546;53200
1547;53200
1548;53200
1549;53052
1550;53000
1551;53000
1552;53000
1553;53000
1554;52900
1555;52600
1556;52530
1557;52150
1558;52100
1559;52100
1560;52100
1561;52100
1562;52000
1563;51900
1564;51750
1565;51600
1566;51540
1567;51500
1568;51500
1569;51300
1570;51000
1571;51000
1572;51000
1573;51000
1574;50870
1575;50600
1576;50600
1577;50500
1578;50470
1579;50200
1580;50100
1581;50100
1582;50050
1583;50000
1584;50000
1585;49950
1586;49900
1587;49810
1588;49740
1589;49700
1590;49570
1591;49500
1592;49500
1593;49500
1594;49500
1595;49500
1596;49400
1597;49400
1598;49350
1599;49300
1600;49200
1601;49184
1602;49000
1603;49000
1604;49000
1605;49000
1606;49000
1607;48840
1608;48750
1609;48550
1610;48550
1611;48527
1612;48400
1613;48200
1614;47900
1615;47800
1616;47500
1617;47400
1618;47300
1619;47260
1620;46866
1621;46800
1622;46600
1623;46500
1624;46500
1625;46500
1626;46500
1627;46400
1628;46300
1629;46300
1630;46200
1631;46200
1632;46180
1633;46030
1634;46000
1635;46000
1636;45900
1637;45850
1638;45785
1639;45760
1640;45537
1641;45500
1642;45350
1643;45300
1644;45050
1645;45000
1646;45000
1647;45000
1648;45000
1649;44900
1650;44800
1651;44800
1652;44800
1653;44700
1654;44700
1655;44271
1656;44200
1657;44200
1658;44050
1659;44000
1660;43900
1661;43890
1662;43750
1663;43700
1664;43670
1665;43400
1666;43400
1667;43400
1668;43400
1669;43260
1670;43250
1671;43200
1672;43200
1673;43200
1674;43200
1675;43050
1676;43000
1677;42800
1678;42800
1679;42800
1680;42800
1681;42800
1682;42785
1683;42650
1684;42650
1685;42550
1686;42480
1687;42480
1688;42450
1689;42230
1690;42030
1691;42000
1692;42000
1693;41950
1694;41900
1695;41900
1696;41900
1697;41250
1698;41250
1699;41080
1700;40545
1701;40500
1702;40390
1703;40300
1704;40040
1705;40040
1706;40000
1707;40000
1708;39600
1709;38980
1710;38700
1711;38700
1712;38400
1713;38110
1714;38110
1715;38016
1716;37653
1717;37250
1718;37200
1719;36300
1720;36214
1721;36214
1722;36000
1723;36000
1724;36000
1725;36000
1726;36000
1727;35640
1728;35640
1729;35134
1730;35100
1731;35100
1732;35010
1733;35010
1734;35000
1735;35000
1736;35000
1737;35000
1738;35000
1739;35000
1740;34810
1741;34800
1742;34800
1743;34750
1744;34750
1745;34500
1746;34500
1747;34500
1748;34440
1749;34150
1750;33660
1751;33440
1752;33440
1753;33330
1754;33330
1755;32960
1756;32900
1757;32860
1758;32000
1759;32000
1760;31500
1761;31000
1762;30880
1763;30880
1764;30850
1765;30000
1766;29150
1767;29000
1768;28800
1769;27750
1770;27060
1771;27060
1772;26900
1773;26300
1774;26080
1775;26000
1776;24000
1777;7400
1778;4000
1779;4000
1780;3500
1781;3400
1782;3400
1783;2860
1784;2860
1785;2800
1786;2800
1787;2750
1788;2500
1789;2500
1790;2500
1791;2500
1792;2500
1793;2500
1794;2120
1795;2120
1796;2000
1797;2000
1798;2000
1799;1800
1800;1800
1801;1800
1802;1700
1803;1600
1804;1550
1805;1550
1806;1500
1807;1350
1808;1300
1809;1250
1810;1200
1811;1200
1812;1200
1813;1000
1814;1000
1815;1000
1816;900
1817;800
1818;800
1819;750
1820;700
1821;700
1822;700
1823;700
1824;600
1825;500
1826;500
1827;500
1828;450
1829;400
1830;400
1831;400
1832;350
1833;300
1834;300
1835;300
1836;300
1837;300
1838;270
1839;250
1840;250
1841;250
1842;250
1843;230
1844;200
1845;200
1846;190
1847;170
1848;35
1849;30
1850;30
1851;30
1852;30
1853;25
1854;25
1855;1
1856;1
1857;1
1858;1
1859;1
1860;1
1861;1
1862;1
